ts_ns,side,price,qty,buy_id,sell_id
1600000000000197079,BUY,127.49,10,6,2
1600000000000326856,BUY,127.49,10,12,2
1600000000000421714,BUY,127.49,10,18,8
1600000000000561756,BUY,127.49,10,24,8
1600000000000694854,BUY,127.49,10,30,8
1600000000000765093,BUY,127.5,10,36,26
1600000000000959230,BUY,127.5,10,42,26
1600000000001120181,BUY,127.5,10,45,38
1600000000001120181,BUY,127.5,10,48,38
1600000000001211472,BUY,127.5,10,54,50
1600000000001300277,BUY,127.5,10,57,38
1600000000001300277,BUY,127.5,10,60,38
1600000000001449108,BUY,127.5,10,66,62
1600000000001648623,BUY,127.5,10,72,68
1600000000001707913,BUY,127.5,10,78,74
1600000000001889196,BUY,127.5,10,84,80
1600000000002022830,BUY,127.49,10,90,86
1600000000002091902,BUY,127.49,10,96,86
1600000000002185192,BUY,127.49,10,102,92
1600000000002320378,BUY,127.49,10,108,86
1600000000002811695,BUY,127.48,10,144,140
1600000000002999587,BUY,127.48,10,150,140
1600000000003162652,BUY,127.48,10,156,146
1600000000003243051,BUY,127.48,10,162,140
1600000000003412425,BUY,127.48,10,168,152
1600000000003607499,BUY,127.48,10,174,146
1600000000003700597,BUY,127.48,10,180,140
1600000000003796108,BUY,127.48,10,186,152
1600000000003899351,BUY,127.48,10,192,146
1600000000004064482,BUY,127.48,10,198,140
1600000000004143232,BUY,127.48,10,204,152
1600000000004341614,BUY,127.48,10,210,188
1600000000004447012,BUY,127.48,10,216,146
1600000000004541357,BUY,127.48,10,222,194
1600000000007237914,BUY,127.46,10,348,344
1600000000007357291,BUY,127.46,10,354,344
1600000000007413707,BUY,127.46,10,360,350
1600000000007605412,BUY,127.46,10,366,344
1600000000007784197,BUY,127.46,10,372,356
1600000000008489199,BUY,127.46,10,396,350
1600000000008657442,BUY,127.46,10,402,362
1600000000008843375,BUY,127.46,10,408,344
1600000000008996445,BUY,127.46,10,414,368
1600000000009082571,BUY,127.46,10,420,356
1600000000009212953,BUY,127.46,10,426,392
1600000000009281181,BUY,127.46,10,432,398
1600000000009355190,BUY,127.46,10,438,344
1600000000009405284,BUY,127.46,10,444,356
1600000000009535920,BUY,127.46,10,450,422
1600000000009684373,BUY,127.46,10,456,350
1600000000009882875,BUY,127.46,10,462,344
1600000000009987361,BUY,127.46,10,468,356
1600000000010127871,BUY,127.46,10,474,392
1600000000010198731,BUY,127.46,10,480,350
1600000000010321543,BUY,127.46,10,486,404
1600000000010437630,BUY,127.46,10,492,344
1600000000010627188,BUY,127.46,10,498,416
1600000000010726795,BUY,127.46,10,504,356
1600000000010917612,BUY,127.46,10,510,422
1600000000011074276,BUY,127.46,10,516,392
1600000000011142606,BUY,127.46,10,522,476
1600000000011313409,BUY,127.46,10,528,350
1600000000011406745,BUY,127.46,10,534,482
1600000000011464815,BUY,127.46,10,540,404
1600000000011516135,BUY,127.46,10,546,488
1600000000011655178,BUY,127.46,10,552,416
1600000000011744099,BUY,127.46,10,558,500
1600000000011800688,BUY,127.46,10,564,356
1600000000011943683,BUY,127.46,10,570,506
1600000000012009272,BUY,127.46,10,576,422
1600000000012095647,BUY,127.46,10,582,512
1600000000012188732,BUY,127.46,10,588,392
1600000000012299572,BUY,127.46,10,594,518
1600000000012448276,BUY,127.46,10,600,476
1600000000013373314,BUY,127.46,10,642,524
1600000000013521702,BUY,127.46,10,648,350
