ts_ns,buy_id,sell_id,price,qty
1758486822030293280,6,2,127.49,10
1758486822030534524,12,2,127.49,10
1758486822030770757,18,8,127.49,10
1758486822030986199,22,2,127.49,8420
1758486822030991021,22,14,127.49,1510
1758486822031082655,24,8,127.49,10
1758486822031342626,28,14,127.49,9440
1758486822031438793,30,8,127.49,10
1758486822031718734,34,14,127.49,1180
1758486822031723457,34,8,127.49,8680
1758486822031730226,34,20,127.5,4600
1758486822031822409,36,26,127.5,10
1758486822032046404,40,32,127.5,14460
1758486822032051408,40,20,127.5,70
1758486822032139888,42,26,127.5,10
1758486822032295718,45,38,127.5,10
1758486822032377099,46,20,127.5,5260
1758486822032380369,46,26,127.5,9420
1758486822032384718,46,38,127.5,2040
1758486822032479918,48,38,127.5,10
1758486822032730634,52,38,127.5,11590
1758486822033109114,54,50,127.5,10
1758486822033252868,57,38,127.5,10
1758486822033322276,58,50,127.5,7230
1758486822033423594,60,38,127.5,10
1758486822033681625,64,50,127.5,4350
1758486822033684243,64,38,127.5,860
1758486822033689524,64,62,127.5,4560
1758486822033772567,66,62,127.5,10
1758486822034002881,70,62,127.5,5200
1758486822034005437,70,68,127.5,13490
1758486822034087313,72,68,127.5,10
1758486822035098262,76,68,127.5,5190
1758486822035105551,76,74,127.5,8650
1758486822035198265,78,74,127.5,10
1758486822035430826,82,74,127.5,5180
1758486822035435094,82,80,127.5,10090
1758486822035517252,84,80,127.5,10
1758486822035827930,90,86,127.49,10
1758486822036600939,96,86,127.49,10
1758486822037008589,102,92,127.49,10
1758486822037456927,108,86,127.49,10
1758486822037598366,4,110,127.48,8440
1758486822037601900,10,110,127.48,8710
1758486822037606796,16,110,127.48,790
1758486822038282924,21,116,127.48,10
1758486822038287772,27,116,127.48,10
1758486822038292774,33,116,127.48,10
1758486822038297382,39,116,127.48,10
1758486822038302328,43,116,127.48,16720
1758486822038307043,51,116,127.48,10
1758486822038312024,55,116,127.48,1770
1758486822038740074,63,122,127.48,10
1758486822038744202,69,122,127.48,10
1758486822038747062,75,122,127.48,10
1758486822038751134,81,122,127.48,10
1758486822038753948,88,122,127.48,6400
1758486822038758084,94,122,127.48,6700
1758486822039109538,100,128,127.48,6780
1758486822039113364,106,128,127.48,5320
1758486822039895275,16,134,127.48,11340
1758486822039899087,114,134,127.48,10
1758486822039901712,55,134,127.48,5460
1758486822039905287,120,134,127.48,10
1758486822039909329,94,134,127.48,1430
1758486822040251502,126,140,127.48,10
1758486822040254042,106,140,127.48,8180
1758486822040257862,132,140,127.48,10
1758486822040260319,94,140,127.48,4730
1758486822040264266,138,140,127.48,10
1758486822040269268,3,140,127.48,10
1758486822040273530,9,140,127.48,10
1758486822040275903,15,140,127.48,10
1758486822040280074,87,140,127.48,10
1758486822040285472,93,140,127.48,10
1758486822040289303,99,140,127.48,10
1758486822040291592,105,140,127.48,10
1758486822040515683,144,140,127.48,10
1758486822041373282,150,140,127.48,10
1758486822041740151,156,146,127.48,10
1758486822041872382,19,158,127.47,9340
1758486822042128923,162,140,127.48,10
1758486822042854619,25,164,127.47,9440
1758486822042858458,31,164,127.47,2800
1758486822043109947,168,152,127.48,10
1758486822043234253,37,170,127.47,12060
1758486822043517812,174,146,127.48,10
1758486822043655041,49,176,127.47,11590
1758486822043659606,61,176,127.47,2070
1758486822044359125,180,140,127.48,10
1758486822044565974,67,182,127.47,10820
1758486822044850922,186,152,127.48,10
1758486822045277060,192,146,127.48,10
1758486822046364281,198,140,127.48,10
1758486822046533513,73,200,127.47,13840
1758486822046538364,79,200,127.47,2960
1758486822046834340,204,152,127.48,10
1758486822047295719,210,188,127.48,10
1758486822047814068,112,212,127.47,10580
1758486822048075932,216,146,127.48,10
1758486822048216242,118,218,127.47,18130
1758486822048507046,222,194,127.48,10
1758486822048671503,124,224,127.46,13140
1758486822048675983,130,224,127.46,4690
1758486822049405537,136,230,127.46,8950
1758486822049892417,142,236,127.46,6810
1758486822050781248,148,242,127.46,7130
1758486822050784979,154,242,127.46,8540
1758486822051229472,19,248,127.46,590
1758486822051233318,31,248,127.46,11660
1758486822051237653,37,248,127.46,2470
1758486822051240492,61,248,127.46,2040
1758486822052500806,67,254,127.46,7870
1758486822052505541,190,254,127.46,8390
1758486822052509869,196,254,127.46,2270
1758486822053068673,79,260,127.46,12310
1758486822053073758,208,260,127.46,5240
1758486822053616706,112,266,127.46,7360
1758486822053621534,118,266,127.46,410
1758486822053625993,130,266,127.46,6130
1758486822054259523,136,272,127.46,9300
1758486822054263777,142,272,127.46,3710
1758486822054715409,154,278,127.45,3650
1758486822054719465,61,278,127.45,3010
1758486822055303493,196,281,127.47,6660
1758486822055555532,208,284,127.46,9430
1758486822055987514,130,290,127.46,1280
1758486822055991069,142,290,127.46,4300
1758486822055993634,61,290,127.46,2650
1758486822055999805,196,290,127.46,3740
1758486822056003378,208,290,127.46,30
1758486822056007170,1,290,127.46,120
1758486822056838058,7,296,127.45,8710
1758486822056841510,13,296,127.45,5540
1758486822057036037,85,299,127.47,6400
1758486822057039627,91,299,127.47,7850
1758486822057228343,97,302,127.45,6780
1758486822057231807,103,302,127.45,6570
1758486822074270685,111,305,127.47,10
1758486822074276591,117,305,127.47,10
1758486822074279801,123,305,127.47,10
1758486822074284398,129,305,127.47,10
1758486822074287994,135,305,127.47,10
1758486822074292384,141,305,127.47,10
1758486822074295476,147,305,127.47,10
1758486822074298785,153,305,127.47,10
1758486822074303857,160,305,127.47,9340
1758486822074308049,166,305,127.47,3930
1758486822074682945,172,308,127.45,12060
1758486822074687746,178,308,127.45,3630
1758486822074975074,184,311,127.47,10820
1758486822074981365,189,311,127.47,10
1758486822074987208,195,311,127.47,10
1758486822074992153,202,311,127.47,4850
1758486822075270731,207,314,127.45,10
1758486822075276153,214,314,127.45,9830
1758486822075548820,220,317,127.47,9840
1758486822075831752,228,320,127.45,10
1758486822075837389,234,320,127.45,10
1758486822075841859,240,320,127.45,10
1758486822075847120,246,320,127.45,10
1758486822075852009,252,320,127.45,10
1758486822075855637,258,320,127.45,10
1758486822075860705,264,320,127.45,10
1758486822075869338,270,320,127.45,10
1758486822075873784,276,320,127.45,10
1758486822075876846,288,320,127.45,10
1758486822075882265,1,320,127.45,8320
1758486822075887447,294,320,127.45,10
1758486822075894403,13,320,127.45,5020
1758486822076287933,91,323,127.47,5010
1758486822076295434,103,323,127.47,6930
1758486822076300059,166,323,127.47,1510
1758486822076576016,178,326,127.46,7420
1758486822077114097,202,332,127.46,11540
1758486822077966196,214,338,127.46,750
1758486822077971466,220,338,127.46,8290
1758486822077976237,13,338,127.46,1570
1758486822077980816,166,338,127.46,5180
1758486822078533621,178,344,127.46,2610
1758486822078538147,330,344,127.46,10
1758486822078543013,202,344,127.46,410
1758486822078547896,336,344,127.46,10
1758486822078552451,166,344,127.46,1620
1758486822078557105,342,344,127.46,10
1758486822079229641,348,344,127.46,10
1758486822079741142,354,344,127.46,10
1758486822080243686,360,350,127.46,10
